No	Comet	Desig. new	Desig. old	Desig. Messier	Start Observation	End Observation	d	t	Disco. Date	Discoverers
1	De la Nux	C/1758 K1	1758	1758	14-Aug-1758	02-Nov-1758	31	c	26-May-1758	De la Nux
2	P/Halley	1P/1758 Y1	1759I	1759	21-Jan-1759	01-May-1759	47	c	25-Dec-1758	Palitzsch
3	Great comet	C/1760 A1	1759III	1760 1	08-Jan-1760	30-Jan-1760	6	c	07-Jan-1760	-many- (Chevalier)
4	Messier	C/1760 B1	1759II	1760 2	26-Jan-1760	18-Mar-1760	22	!	26-Jan-1760	Messier
6	Messier	C/1763 S1	1763	1763	28-Sep-1763	24-Nov-1763	29	!	28-Sep-1763	Messier
7	Messier	C/1764 A1	1764	1764	03-Jan-1764	11-Feb-1764	16	!	03-Jan-1764	Messier
8	Messier	C/1766 E1	1766I	1766 1	08-Mar-1766	15-Mar-1766	8	!	08-Mar-1766	Messier
9	P/Helfenzrieder	D/1766 G1	1766II	1766 2	08-Apr-1766	12-Apr-1766	5	c	08-Apr-1766	Helfenzrieder
10	Messier	C/1769 P1	1769	1769	08-Aug-1769	01-Dec-1769	42	!	08-Aug-1769	Messier
11	P/Lexell	D/1770 L1	1770I	1770	14-Jun-1770	03-Oct-1770	47	!	14-Jun-1770	Messier
12	Great comet	C/1771 A1	1770II	1771 1	10-Jan-1771	20-Jan-1771	4	c	10-Jan-1771	-many- (incl. Messier)
13	Messier	C/1771 G1	1771	1771 2	01-Apr-1771	15-Jun-1771	48	!	01-Apr-1771	Messier
15	Messier	C/1773 T1	1773	1773	12-Oct-1773	14-Apr-1774	71	!	12-Oct-1773	Messier
17	Bode	C/1779 A1	1779	1779	19-Jan-1779	19-May-1779	63	c	06-Jan-1779	Bode
18	Messier	C/1780 U2	1780I	1780 2	27-Oct-1780	28-Nov-1780	13	!	27-Oct-1780	Messier
23	Messier-Méchain	C/1785 A1	1785I	1785 1	07-Jan-1785	16-Jan-1785	6	!	07-Jan-1785	Messier
28	Messier	C/1788 W1	1788I	1788 1	25-Nov-1788	29-Dec-1788	20	!	25-Nov-1788	Messier
36	Messier	C/1793 S2	1793I	1793 4	27-Sep-1793	07-Jan-1794		!	27-Sep-1793	Messier
38	Messier	C/1798 G1	1798I	1798 1	12-Apr-1798	24-May-1798	27	!	12-Apr-1798	Messier
42	Pons +	C/1801 N1	1801	1801	12-Jul-1801	21-Jul-1801	5	c	12-Jul-1801	Pons, Messier, Méchain, Bouvard
